id,category,text,buckwalter,phonemes,ipa,gold_ipa,exact_match,normalized_match,status,error
1,silent_letters,كَتَبُوا,katabuwA,k a t a b uu0,ˈkatabuː,,,,PASS,
2,silent_letters,يَسْمَعُوا,yasomaEuwA,y a s m a E uu0,ˈjasmaʕuː,,,,PASS,
3,silent_letters,لَمْ يَدْعُوا,lamo yadoEuwA,l a m + y a d E uu0,ˈlam ˈjadʕuː,,,,PASS,
4,silent_letters,مِائَةٌ,miA}apN,m i0 < a t u1 n,ˈmiʔatun,,,,PASS,
5,silent_letters,مِائَتَانِ,miA}ataAni,m i0 < a t aa n i0,miʔaˈtaːni,,,,PASS,
6,silent_letters,أُولَئِكَ,>uwla}ika,< u0 l aa < i0 k a,ʔuˈlaːʔika,,,,PASS,
7,silent_letters,أُولُو,>uwluw,< u0 l uu0,ˈʔuluː,,,,PASS,
8,silent_letters,أُولِي,>uwliy,< u0 l ii0,ˈʔuliː,,,,PASS,
9,silent_letters,عَمْرًا,EamorFA,E a m r a n,ˈʕamran,,,,PASS,
10,silent_letters,عَمْرٍو,EamorKw,E a m r i1 n,ˈʕamrin,,,,PASS,
11,silent_letters,عَمْرٌو,EamorNw,E a m r u1 n,ˈʕamrun,,,,PASS,
12,hidden_alif_khanjariyya,هَذَا,ha*aA,h aa * aa,ˈhaːðaː,,,,PASS,
13,hidden_alif_khanjariyya,هَذِهِ,ha*ihi,h aa * i0 h i0,ˈhaːðihi,,,,PASS,
14,hidden_alif_khanjariyya,هَذَانِ,ha*aAni,h aa * aa n i0,haːˈðaːni,,,,PASS,
15,hidden_alif_khanjariyya,هَؤُلَاءِ,ha&ulaA'i,h aa < u0 l aa < i0,haːʔuˈlaːʔi,,,,PASS,
16,hidden_alif_khanjariyya,ذَلِكَ,*alika,* aa l i0 k a,ˈðaːlika,,,,PASS,
17,hidden_alif_khanjariyya,كَذَلِكَ,ka*alika,k a * aa l i0 k a,kaˈðaːlika,,,,PASS,
18,hidden_alif_khanjariyya,اللَّهُ,All~ahu,< a ll AA h u0,ʔalˈlɑːhu,,,,PASS,
